id,token,username,time,date,activity,path
2367,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:41:24,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2368,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:43:57,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2369,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:44:05,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2370,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:44:17,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2371,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:44:19,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2372,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:44:36,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2373,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:45:02,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2374,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:45:02,26-March-2024,{},http://192.168.100.2:8000/get-logs
2375,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:45:22,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2376,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:45:22,26-March-2024,{},http://192.168.100.2:8000/get-logs
2377,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:45:46,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2378,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:45:46,26-March-2024,{},http://192.168.100.2:8000/read-logs
2379,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:46:04,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2380,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:46:04,26-March-2024,{},http://192.168.100.2:8000/read-logs
2381,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:46:28,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2382,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:46:28,26-March-2024,{},http://192.168.100.2:8000/read-logs
2383,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:46:47,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2384,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:46:48,26-March-2024,{},http://192.168.100.2:8000/read-logs
2385,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:47:01,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
2386,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:47:01,26-March-2024,{},http://192.168.100.2:8000/read-logs
2387,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Muneeb Baig",14:47:35,26-March-2024,"{"usern":"4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8"}",http://192.168.100.2:8000/get-permissions
